userId,movieId,rating,timestamp,genres_bin,isNoisy
432,77866,4.5,,00001010000010010111100101111011101,[0]
42,2987,4.0,,00001101001000000101101111111111111,[0]
75,1610,4.0,,00001000000000100011101110111011101,[0]
354,51662,3.5,,00001001011000011110000100111110011,[0]
416,750,4.5,,00000100000000010101100001011000011,[0]
73,8641,3.5,,00000100000000000001100001010000010,[0]
391,1179,4.0,,00010111000100000100100111011000001,[0]
380,111362,5.0,,00011001000001000011100100111011101,[0]
305,55276,5.0,,00000010000000100100101111001000001,[0]
307,6957,3.5,,00000100000000000001100101011000011,[0]
561,1278,3.5,,00000101000000000101100001110110011,[0]
6,587,5.0,,00000111000010100111101111111110011,[0]
601,48394,4.0,,00000011000000100100101111101110011,[0]
325,32,4.0,,00010001001001100010101110001110011,[0]
16,204,2.0,,00001000000000000010000100110010000,[0]
542,4816,1.5,,00000100000000000001100001010000010,[0]
182,5643,3.0,,00000010000000000110100001111011010,[0]
89,42761,4.5,,00001101000000000101101111111111111,[0]
359,541,1.5,,00011001000001100010101110111010001,[0]
80,2513,4.0,,00000000100000000000000000011000000,[0]
448,117590,2.0,,00000100000000000001100101011000011,[0]
514,1258,4.0,,00000000100000000000000000011000000,[0]
68,1101,3.5,,00001000000010000110100101110010001,[0]
509,1588,3.5,,00000100000000000001101111111000011,[0]
131,31,3.0,,00000010000000000100000001001000000,[0]
312,5065,3.0,,00000011101000100100101111111110011,[0]
57,2102,4.0,,00001100001000000111101111111111011,[0]
603,2020,4.0,,00000010000010000110100001111000001,[0]
337,778,4.0,,00000110000000000101100101011000011,[0]
167,318,5.0,,00000110000000000100100101001000001,[0]
16,293,4.0,,00001110000000100110101111111010001,[0]
448,99992,3.0,,00000110000000100100101111001000001,[0]
599,59369,2.5,,00001110000000100110101111111010001,[0]
581,4226,4.5,,00000000001000100000101110001110011,[0]
215,1347,0.5,,00000000100000100000101110011000001,[0]
81,288,3.0,,00001100000000100010101111111010001,[0]
414,2120,2.0,,00000010100000000100000001011000001,[0]
186,3740,3.0,,00001101000000000111100101111111111,[0]
28,1245,3.5,,00010111000100100100101111011000001,[0]
195,4067,4.0,,00000010000010000110100001111000001,[0]
596,141131,2.5,,11100000000000000001110110111110000,[0]
387,5296,1.5,,00000100000010000111100001110000011,[0]
514,104841,3.0,,00011001011001001010000100110010001,[0]
510,2710,1.0,,00000010100000100100101111011000001,[0]
596,4014,3.5,,00000010000010000110100001111000001,[0]
34,31685,2.0,,00000100000010000111100001110000011,[0]
